codigo_producto,descripcion,negocio,seccion,linea,categoria,abastecimiento,comuna,region,tienda,zonal,mes,año,semestre,fecha,motivo,ubicación_motivo,merma_unidad,merma_monto,merma_unidad_p,merma_monto_p
14190,PALETA GRANEL SUPER CERDO KG,PERECIBLES,CARNES,CERDO,CERDO GRANEL,DIRECTO,TEMUCO,IX,TEMUCO IV,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-10,INTERNO,BODEGA,-54,-1015,54,1015
51802,TRUTRO ENT POLLO SUPERPOLLO GRANEL 1 KG,PERECIBLES,CARNES,POLLO,POLLO GRANEL,DIRECTO,TEMUCO,IX,TEMUCO II,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-02,INTERNO,BODEGA,-24,-286,24,286
349368,AZUCAR GRANULADA MERKAT 1 KG,PGC,PGC ALIMENTACION,ALIMENTO BASICO,AZUCAR,CENTRALIZADO,ANGOL,IX,ANGOL,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-02,INTERNO,BODEGA,-10,-452,10,452
349368,AZUCAR GRANULADA MERKAT 1 KG,PGC,PGC ALIMENTACION,ALIMENTO BASICO,AZUCAR,CENTRALIZADO,ANGOL,IX,ANGOL,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-03,INTERNO,BODEGA,-10,-451,10,451
349368,AZUCAR GRANULADA MERKAT 1 KG,PGC,PGC ALIMENTACION,ALIMENTO BASICO,AZUCAR,CENTRALIZADO,ANGOL,IX,ANGOL,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-04,INTERNO,BODEGA,-10,-451,10,451
349368,AZUCAR GRANULADA MERKAT 1 KG,PGC,PGC ALIMENTACION,ALIMENTO BASICO,AZUCAR,CENTRALIZADO,ANGOL,IX,ANGOL,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-06,INTERNO,BODEGA,-30,-1352,30,1352
349368,AZUCAR GRANULADA MERKAT 1 KG,PGC,PGC ALIMENTACION,ALIMENTO BASICO,AZUCAR,CENTRALIZADO,ANGOL,IX,ANGOL,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-15,INTERNO,BODEGA,-20,-901,20,901
349368,AZUCAR GRANULADA MERKAT 1 KG,PGC,PGC ALIMENTACION,ALIMENTO BASICO,AZUCAR,CENTRALIZADO,ANGOL,IX,ANGOL,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-22,INTERNO,BODEGA,-20,-901,20,901
349368,AZUCAR GRANULADA MERKAT 1 KG,PGC,PGC ALIMENTACION,ALIMENTO BASICO,AZUCAR,CENTRALIZADO,ANGOL,IX,ANGOL,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-23,INTERNO,BODEGA,-10,-450,10,450
349368,AZUCAR GRANULADA MERKAT 1 KG,PGC,PGC ALIMENTACION,ALIMENTO BASICO,AZUCAR,CENTRALIZADO,ANGOL,IX,ANGOL,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-25,INTERNO,BODEGA,-10,-450,10,450
349368,AZUCAR GRANULADA MERKAT 1 KG,PGC,PGC ALIMENTACION,ALIMENTO BASICO,AZUCAR,CENTRALIZADO,ANGOL,IX,ANGOL,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-26,INTERNO,BODEGA,-10,-450,10,450
349368,AZUCAR GRANULADA MERKAT 1 KG,PGC,PGC ALIMENTACION,ALIMENTO BASICO,AZUCAR,CENTRALIZADO,TEMUCO,IX,TEMUCO II,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-05,INTERNO,BODEGA,-20,-901,20,901
349368,AZUCAR GRANULADA MERKAT 1 KG,PGC,PGC ALIMENTACION,ALIMENTO BASICO,AZUCAR,CENTRALIZADO,TEMUCO,IX,TEMUCO II,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-15,INTERNO,BODEGA,-10,-450,10,450
349368,AZUCAR GRANULADA MERKAT 1 KG,PGC,PGC ALIMENTACION,ALIMENTO BASICO,AZUCAR,CENTRALIZADO,TEMUCO,IX,TEMUCO II,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-17,INTERNO,BODEGA,-10,-450,10,450
349368,AZUCAR GRANULADA MERKAT 1 KG,PGC,PGC ALIMENTACION,ALIMENTO BASICO,AZUCAR,CENTRALIZADO,TEMUCO,IX,TEMUCO II,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-18,INTERNO,BODEGA,-10,-450,10,450
349368,AZUCAR GRANULADA MERKAT 1 KG,PGC,PGC ALIMENTACION,ALIMENTO BASICO,AZUCAR,CENTRALIZADO,TEMUCO,IX,TEMUCO II,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-19,INTERNO,BODEGA,-30,-1350,30,1350
349368,AZUCAR GRANULADA MERKAT 1 KG,PGC,PGC ALIMENTACION,ALIMENTO BASICO,AZUCAR,CENTRALIZADO,TEMUCO,IX,TEMUCO II,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-22,INTERNO,BODEGA,-20,-900,20,900
349368,AZUCAR GRANULADA MERKAT 1 KG,PGC,PGC ALIMENTACION,ALIMENTO BASICO,AZUCAR,CENTRALIZADO,TEMUCO,IX,TEMUCO II,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-23,INTERNO,BODEGA,-10,-450,10,450
349368,AZUCAR GRANULADA MERKAT 1 KG,PGC,PGC ALIMENTACION,ALIMENTO BASICO,AZUCAR,CENTRALIZADO,TEMUCO,IX,TEMUCO II,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-24,INTERNO,BODEGA,-10,-450,10,450
349368,AZUCAR GRANULADA MERKAT 1 KG,PGC,PGC ALIMENTACION,ALIMENTO BASICO,AZUCAR,CENTRALIZADO,TEMUCO,IX,TEMUCO II,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-25,INTERNO,BODEGA,-20,-900,20,900
